,year,incident,containment,start_date,end_date,cdf_burned,other_burned,total_burned,struct_dest,struct_dam,death_fire,death_civil
174,2002,MMU-8182,100%,5/23/02,5/23/02,NA,6000,NA,0,0,0,0
175,2002,BDU-4700,100%,5/31/02,6/5/02,NA,2688,NA,7,NA,NA,NA
176,2002,LPF-869,100%,6/1/02,6/14/02,NA,21645,NA,6,NA,NA,NA
177,2002,SQF- 1009,100%,6/2/02,6/4/02,NA,498,498,NA,NA,NA,NA
178,2002,RRU-40281,100%,6/2/02,6/2/02,NA,432,432,NA,NA,NA,NA
179,2002,BDU-4974,100%,6/5/02,6/12/02,NA,23407,NA,26,NA,NA,NA
180,2002,BTU-6327,100%,6/8/02,6/9/02,2000,NA,NA,NA,NA,NA,NA
181,2002,AEU-8140,100%,6/8/02,6/8/02,300,NA,300,0,0,0,0
182,2002,FKU-7156,100%,6/9/02,6/10/02,400,NA,400,0,0,0,0
183,2002,SLU-2909,100%,6/9/02,6/9/02,2118,NA,NA,0,0,0,0
184,2002,AEU-8240,100%,6/9/02,6/9/02,720,NA,720,0,0,0,0
185,2002,NEU-8324,100%,6/9/02,6/11/02,945,NA,945,0,0,0,0
186,2002,SKU-1997,100%,6/12/02,6/15/02,NA,1400,NA,NA,NA,NA,NA
187,2002,TUU-5894,100%,6/14/02,6/14/02,NA,641,641,0,0,0,0
188,2002,TUU-5931,100%,6/15/02,6/17/02,NA,3430,NA,19,NA,NA,NA
189,2002,BDU-5283,100%,6/16/02,6/22/02,NA,6864,NA,NA,NA,NA,NA
190,2002,VAF-0364,100%,6/17/02,6/19/02,NA,7782,NA,1,0,0,0
191,2002,ANF-1949,100%,6/18/02,6/21/02,NA,1460,NA,3,NA,NA,NA
192,2002,SCU-2228,100%,6/18/02,6/18/02,1029,NA,NA,0,0,0,0
193,2002,RRU-44585,100%,6/18/02,6/22/02,565,NA,565,NA,NA,NA,NA
194,2002,MMU-10060,100%,6/19/02,6/19/02,NA,300,300,0,0,0,0
195,2002,TUU-6214,100%,6/22/02,6/22/02,1100,NA,NA,0,0,0,0
196,2002,BDU-5640,100%,6/26/02,6/30/02,NA,6574,NA,7,NA,NA,NA
197,2002,MMU-10594,100%,6/27/02,6/27/02,NA,448,448,0,0,0,0
198,2002,AEU-9828,100%,7/3/02,7/7/02,NA,670,670,NA,NA,NA,NA
199,2002,MMU-11097,100%,7/4/02,7/4/02,1000,NA,NA,0,0,0,0
200,2002,MMU-11533,100%,7/9/02,7/10/02,300,NA,300,0,0,0,0
201,2002,LMU-2073,100%,7/12/02,7/13/02,NA,300,300,NA,NA,NA,NA
202,2002,LMU-2109,100%,7/12/02,7/13/02,NA,4500,NA,0,0,0,0
203,2002,LMU-3180,100%,7/13/02,7/20/02,NA,500,500,0,0,0,0
204,2002,MVU-5177,100%,7/13/02,7/16/02,789,377,NA,0,0,0,0
205,2002,SKU-2739,100%,7/13/02,7/16/02,3260,NA,NA,0,0,0,0
206,2002,SRF-3560,100%,7/13/02,8/2/02,NA,28772,NA,NA,NA,NA,NA
207,2002,LMU-2124,100%,7/14/02,7/14/02,NA,300,300,0,0,NA,NA
208,2002,BDU-6371,100%,7/15/02,7/16/02,NA,6550,NA,NA,NA,NA,NA
209,2002,NOD-2085,100%,7/15/02,7/15/02,NA,1580,NA,NA,NA,NA,NA
