system:index,AGENCY,ALARM_DATE,CAUSE,COMPLEXNM,CONT_DATE,FIRE_NAME,GIS_ACRES,INCOMPLEX,MAPMETHOD,YEAR,YEARn,histogram,.geo
000036972e23aa951197,USF,1.50097E+12,1,,1.50468E+12,COVE,30890.86133,,,2017,48,"71=17723.262745098098, 82=270.35686274509794, 81=70.5921568627451, 42=83649.44313725474, 52=35578.29019607843, 95=148.71764705882353, 31=1464.0470588235294",
0000bc74f23b74cba557,CDF,1.2142E+12,1,,1.21662E+12,CORRAL FIRE,12434.28906,,,2008,39,"71=2370.572549019608, 42=41628.670588235174, 52=11526.447058823569, 95=129.4, 31=254.09411764705882",
00007d7dd8ef88f1ca25,USFS,,0,,,WHALEBACK,18702.50618,N,Mixed Methods,2018,49,"71=132.3764705882353, 21=678.7058823529412, 42=30159.694117647094, 52=52390.46666666659, 95=606.0941176470587, 11=0.6705882352941176, 31=121.0",
000063ea6696169d0300,USF,1.4067E+12,1,,1.40809E+12,BALD,39752.19531,,,2014,45,"71=18884.101960784323, 11=31.0, 21=950.556862745098, 43=5.0, 81=249.31764705882347, 42=90263.5803921569, 52=67263.9058823531, 95=744.4078431372548, 31=351.35686274509806",
0000acc4c1066f14f82e,USF,1.40679E+12,9,,1.40886E+12,EILER,31995.21875,,,2014,45,"31=4343.278431372546, 11=168.44313725490196, 95=208.34117647058824, 52=26850.835294117715, 71=1555.776470588235, 90=3.8117647058823527, 22=30.850980392156863, 82=289.89411764705875, 42=109182.76078431337, 81=270.58039215686273, 41=61.450980392156865, 43=21.172549019607843, 21=874.0470588235293",
0000ce7ecc99c2bc977f,NPS,1.34303E+12,14,,1.35279E+12,READING,28073.20313,,,2012,43,"71=279.0, 21=425.68627450980387, 22=51.92549019607844, 42=115540.27058823503, 23=6.976470588235294, 52=8906.047058823531, 95=54.95294117647059, 11=559.0, 31=402.17647058823525",
00004eaa3f104856b69b,USFS,,0,,,HIRZ,46458.10069,N,Infrared Image,2018,49,"71=1788.9490196078427, 21=849.9176470588228, 43=7648.007843137256, 42=133992.61568627434, 41=1554.5098039215684, 52=63022.71372549026, 11=2.4509803921568625, 31=40.0",
000000d65ff5a37187cb,USF,1.34527E+12,1,,1.35149E+12,BAGLEY,46040.14844,,,2012,43,"71=1058.9529411764704, 42=168928.13333333295, 41=884.5294117647059, 43=2518.9686274509804, 11=26.21176470588235, 52=33601.062745098076",
00004ca967afa634acb3,USFS,,0,,,DELTA,63505.60025,N,Mixed Methods,2018,49,"12=26.0, 52=53286.12156862733, 11=235.09019607843135, 31=219.8274509803922, 71=4077.737254901961, 24=0.7960784313725491, 90=50.0, 43=5428.635294117646, 41=2258.0823529411764, 23=359.55686274509804, 42=216903.36078431245, 22=564.0588235294115, 21=2135.6627450980386",
0000352879a105734fd0,USF,1.50243E+12,1,,1.51056E+12,WALLOW,63785.07031,,,2017,48,"71=5213.050980392156, 90=41.13725490196079, 21=176.3294117647059, 43=10792.400000000005, 42=219820.66274509695, 41=3208.4862745098035, 52=46371.34901960791, 11=303.0509803921569, 95=10.0, 31=867.4352941176471",
00003bf10ed58e36c281,USF,1.40774E+12,1,,1.41206E+12,FRYING PAN,133177.375,,,2014,45,"71=7420.525490196079, 90=285.65098039215684, 22=6.294117647058824, 23=10.015686274509804, 21=11610.639215686264, 43=23812.03529411766, 42=459839.2235294102, 41=6847.576470588235, 52=88471.94117647043, 11=127.08627450980394, 31=390.4509803921569",
00003077efc49c35fdfb,USF,1.21671E+12,1,,1.22397E+12,PANTHER,44497.17578,,,2008,39,"71=1069.847058823529, 90=44.498039215686276, 22=1.1843137254901959, 21=2092.4470588235295, 43=7118.7843137254895, 42=165615.1450980373, 41=2865.447058823529, 52=20971.450980392197, 11=236.9333333333333, 31=62.23921568627451",
0000874def183af59f5a,USF,1.47228E+12,7,,,GAP,33011.44141,,,2016,47,"52=36032.129411764734, 95=11.749019607843138, 11=36.847058823529395, 31=29.658823529411762, 71=1702.95294117647, 90=681.9490196078428, 43=6356.46666666667, 42=94932.3294117643, 23=18.03921568627451, 81=7.039215686274508, 41=1320.776470588235, 22=27.215686274509807, 21=7274.137254901953",
00004bc6a995ca3e6428,USF,1.4067E+12,1,,1.41275E+12,BEAVER,32493.39648,,,2014,45,"71=2357.823529411764, 90=525.18431372549, 21=9449.650980392154, 43=6716.462745098039, 42=68685.68235294128, 41=1178.8745098039217, 23=13.627450980392156, 22=66.23529411764707, 52=56961.98823529437, 95=34.0, 11=0.17254901960784313, 31=113.0",
0000ecb30110522e9551,State Agency,,0,,,KLAMATHON,38008.78822,N,Unknown,2018,49,"31=3748.164705882352, 11=46.235294117647065, 52=87983.12156862722, 71=43185.38823529425, 24=156.68235294117648, 90=79.49803921568628, 82=457.00000000000006, 22=1038.5176470588235, 42=28724.792156862844, 81=1073.6627450980388, 23=434.435294117647, 41=1763.533333333333, 43=605.1176470588235, 21=1610.3450980392156",
