system:index,AGENCY,ALARM_DATE,CAUSE,COMPLEXNM,CONT_DATE,FIRE_NAME,GIS_ACRES,INCOMPLEX,MAPMETHOD,YEAR,YEARn,histogram,.geo
000035cf842a96b5097b,BLM,1.34484E+12,1,,1.34545E+12,WILSON,11667.1377,,,2012,43,"3=7529.050980392154, 2=2624.53725490196, 7=178.99607843137255, 6=24.0, 4=73.52156862745097, 8=41938.584313725616, 9=34.247058823529414, 11=48.0",
00006ea4773ce9eb725b,CDF,1.31123E+12,7,,1.31192E+12,EAGLE,13992.99219,,,2011,42,"3=9949.070588235285, 7=332.7607843137255, 8=50327.56470588261, 6=529.3882352941176, 4=898.349019607843, 5=633.1254901960783",
00002d3e3aecabf05786,CDF,1.37387E+12,9,,1.37517E+12,MOUNTAIN,27523.66602,,,2013,44,"1=28284.85882352948, 3=15275.160784313754, 7=515.5294117647059, 6=1120.8588235294117, 4=48.0, 5=7758.764705882352, 8=69302.97254901916, 9=849.0274509803921, 11=64.84313725490198, 10=5.0",
00002d59c5828f809f6d,USFS,,0,,,CRANSTON,13229.15852,N,Infrared Image,2018,49,"1=21461.84313725506, 7=556.0000000000001, 6=193.12549019607843, 5=1818.2078431372545, 8=33987.03921568638, 9=1075.4117647058822, 11=13.905882352941177, 10=16.0",
00009abf84c295900d6a,CDF,1.37586E+12,14,,1.37638E+12,SILVER,20308.45313,,,2013,44,"1=455.65098039215667, 3=20248.635294117674, 7=1332.498039215686, 6=1528.8745098039212, 5=505.39215686274497, 8=65746.19999999978, 9=1033.4980392156863, 11=15.0, 10=6.1647058823529415",
00002797d13fdb17fa02,CDF,1.16185E+12,7,,1.1622E+12,ESPERANZA,40176.80078,,,2006,37,"1=16.0, 3=5342.596078431371, 7=8246.141176470584, 6=4570.0901960784295, 5=441.0392156862745, 8=157468.66274509742, 9=2828.807843137255, 11=18.0, 10=101.99607843137257",
0000f544b2308fdb2f9e,CDF,1.15243E+12,1,,1.15321E+12,SAWTOOTH COMPLEX,61767.17578,,,2006,37,"1=2070.7098039215684, 3=76432.9372549018, 2=95906.63137254881, 7=2990.999999999999, 6=268.7921568627451, 4=9351.498039215689, 5=665.6352941176468, 8=87557.35686274487, 9=901.5921568627451",
00009f74a3ff2530aa63,USF,1.15243E+12,1,,1.15442E+12,MILLARD,24218.89844,,,2006,37,"1=4076.768627450977, 3=12513.301960784336, 2=3011.1058823529415, 7=1370.7882352941178, 6=167.30980392156863, 5=12303.607843137263, 8=72866.16078431375, 11=0.25098039215686274, 10=1838.8000000000006",
0000108937d98a661ad5,USF,1.43452E+12,9,,1.45155E+12,LAKE,31284.44141,,,2015,46,"1=80398.09803921527, 3=232.0, 2=28382.21568627457, 7=194.6588235294118, 6=869.2588235294119, 5=5574.564705882353, 8=24325.305882353052, 9=8.27843137254902, 11=30.0, 10=59.0",
0000c2a8ebd283b3f66f,CDF,1.06715E+12,14,,1.06828E+12,MOUNTAIN,10331.39355,,,2003,34,"7=2716.1960784313724, 9=4573.301960784314, 8=34318.77647058825, 6=3128.741176470588, 11=20.0, 10=48.28235294117647",
000081535c979e3a1f43,CDF,9.64854E+11,14,,,PECHANGA,11733.98145,,,2000,31,"1=3194.4352941176467, 7=123.42352941176473, 9=87.32941176470588, 8=43529.80784313724, 6=3387.2196078431343, 5=2216.8627450980393",
000009367398b3a4f47e,CDF,1.19312E+12,9,,1.1965E+12,POOMACHA,49410.96875,,,2007,38,"1=16968.18039215688, 7=15246.921568627466, 6=29652.898039215717, 5=19643.325490196115, 8=128219.0862745097, 9=3163.788235294116, 11=2025.1764705882351, 10=12.0",
0000d80e10b4130588a7,USF,1.06715E+12,7,,1.06793E+12,PARADISE,56545.69531,,,2003,34,"1=163.0, 7=22011.70196078441, 6=38797.980392156955, 5=106.11764705882354, 8=170075.89019607802, 9=9660.890196078431, 11=2528.866666666667, 10=1058.8431372549016",
0000b6c9a383f1e05529,CDF,1.19295E+12,9,,1.19381E+12,WITCH,162070.4688,,,2007,38,"1=153.0, 7=65293.662745098045, 6=72458.55294117652, 5=1121.9607843137255, 8=493967.8352941156, 9=48628.40392156886, 11=1457.2352941176473, 10=8240.219607843139",
00000e5d5cddd71d02f2,USF,1.05834E+12,1,,1.05894E+12,COYOTE,18704.7793,,,2003,34,"3=230.78039215686277, 2=75.11764705882354, 7=43.0, 6=2382.513725490198, 4=303.28235294117644, 5=1088.2705882352943, 8=79756.55686274481, 9=33.980392156862735, 11=33.90588235294118, 10=13.227450980392156",
0000ff19d2bf82834d3c,BLM,1.34484E+12,1,,1.34545E+12,STWEART,10630.22559,,,2012,43,"3=10401.823529411764, 2=9562.439215686278, 7=42.23529411764706, 6=23.0, 4=176.28627450980386, 8=27578.698039215687, 9=11.498039215686275, 11=3.2784313725490195",
0000a06a41f76a5f58a4,DOD,1.19312E+12,14,,1.1939E+12,AMMO,21493.9082,,,2007,38,"7=30010.356862745186, 9=990.850980392157, 8=60386.76470588244, 6=4989.000000000001, 10=146.97647058823532",
0000c47b97bc63960d09,DOD,1.40048E+12,0,,,PULGAS-BASILONE COMPLEX,15186.14258,,,2014,45,"7=35605.427450980394, 9=1235.8352941176468, 8=27707.447058823596, 6=2679.6470588235284, 10=304.68235294117636",
00002f73ed23ca300232,USFS,,0,,,HOLY,23025.34224,N,Infrared Image,2018,49,"1=11636.552941176471, 7=68.0, 6=6356.61568627451, 5=5487.760784313726, 8=78136.35686274496, 9=1598.5843137254897, 10=14.0",
00002be4352d93a0cf1a,CDF,1.08357E+12,8,,1.08391E+12,CERRITO,16447.39844,,,2004,35,"2=639.756862745098, 7=2810.054901960783, 6=3340.207843137254, 8=64687.72549019581, 9=2208.7647058823522, 11=9.588235294117649, 10=21.384313725490195",
000078ec552cb6c54948,CDF,1.19295E+12,9,,1.19451E+12,SANTIAGO,28429.98047,,,2007,38,"1=243.2941176470588, 3=378.09411764705885, 7=15208.301960784349, 6=5323.125490196078, 5=1856.6784313725493, 8=89500.78431372528, 9=4905.5764705882275, 11=8.0, 10=24.270588235294117",
000040c721539081a9f2,USF,1.13921E+12,18,,1.1406E+12,SIERRA,10591.97559,,,2006,37,"1=1403.0, 3=3.8705882352941177, 7=1393.8549019607842, 6=1998.0039215686277, 5=41.168627450980395, 8=41784.2588235295, 9=768.7019607843138",
000060891dcb058e29a9,CCO,1.22674E+12,10,,1.227E+12,FREEWAY_COMPLEX,30305.23242,,,2008,39,"7=62296.5529411764, 6=20482.298039215704, 5=406.0, 8=38554.6352941177, 9=11445.43137254904, 11=138.84313725490196, 10=15.937254901960785",
000047781d92d89acc06,CCO,1.2536E+12,14,,1.25378E+12,GUIBERSON,17526.68555,,,2009,40,"7=7186.235294117637, 3=117.14117647058823, 9=428.6431372549019, 8=61909.945098038916, 6=6578.658823529411, 10=2.0",
0000c8b8c77a641511e5,CDF,1.16513E+12,14,,1.16565E+12,SHEKELL,13618.08887,,,2006,37,"7=10633.89411764708, 3=187.0, 9=3991.6274509803925, 8=30811.094117647157, 6=2362.3843137254894",
0000d7a22b554d2a172c,CCO,1.36748E+12,14,,1.368E+12,SPRINGS,24059.85742,,,2013,44,"7=9103.94117647059, 9=1529.8117647058816, 8=90594.10588235276, 6=4855.380392156863, 11=385.0588235294118, 10=270.58431372549023",
0000f2670ef97606b472,USF,1.51237E+12,9,,1.51574E+12,THOMAS,281790.875,,,2017,48,"1=14906.662745098038, 3=503.18431372549014, 7=64227.6901960785, 6=143425.69019607845, 5=11695.725490196077, 8=975627.3607843111, 9=11571.980392156855, 10=2198.631372549019",
0000434da9b4e4cf0c1e,C&L,,0,,,THOMAS,281795.8323,N,Unknown,2017,48,"1=14906.615686274508, 3=503.18431372549014, 7=64228.81960784321, 6=143429.93725490198, 5=11695.725490196077, 8=975644.2078431346, 9=11571.980392156855, 10=2198.631372549019",
0000df44d3bd349f193d,USF,1.4715E+12,9,,1.47392E+12,REY,32580.43555,,,2016,47,"1=297.0196078431371, 7=4625.1215686274545, 8=132589.00392156793, 6=8391.411764705885, 10=8.027450980392157, 5=286.66274509803924",
0000545b99515473260b,USF,1.4995E+12,9,,1.51384E+12,WHITTIER,18412.4043,,,2017,48,"7=1376.1058823529406, 9=143.75686274509803, 8=56722.92156862707, 6=24190.23137254905, 5=22.0, 10=60.48235294117647",
0000973be6514967c850,CDF,1.18353E+12,2,,1.18872E+12,ZACA,240358.7031,,,2007,38,"1=47189.64705882353, 3=0.30980392156862746, 2=20496.46666666667, 7=9422.023529411763, 6=39413.576470588276, 5=122253.24313725496, 8=839047.8117647019, 9=29.619607843137256, 10=3.0",
0000b10d4edd1754ead9,USF,1.15735E+12,5,,1.1622E+12,DAY,161815.6563,,,2006,37,"1=87467.8823529411, 3=213.3411764705882, 2=56986.972549019636, 7=7446.678431372548, 6=10636.745098039224, 5=28630.494117647082, 8=527811.1490196043, 9=641.6823529411764, 11=48.36078431372549, 10=47.752941176470586",
00007d7befb355ba25d9,CCO,1.02291E+12,9,,1.02404E+12,WOLF,21641.13867,,,2002,33,"1=3082.545098039215, 2=54.0, 7=3891.8509803921556, 6=300.7725490196078, 5=1191.521568627451, 8=75599.95686274456, 9=124.28627450980393",
