"","MAPMETHOD","AGENCY","COMPLEXNM","INCOMPLEX","FIRE_NAME","YEAR","GIS_ACRES","ALARM_DATE","CONT_DATE","CAUSE","YEARn"
"202",NA,"USF",NA,NA,"JOHNSON","2015",17821.1074219,2015-07-30,2015-10-30,1,46
"203",NA,"USF",NA,NA,"PATTISON","2015",12916.5722656,2015-07-30,2015-08-18,1,46
"204",NA,"USF",NA,NA,"CASTLE","2015",14253.9511719,2015-06-23,2015-06-23,4,46
"205",NA,"CDF",NA,NA,"CHIMNEY","2016",46233.9179688,2016-08-13,2016-09-09,10,47
"206",NA,"CDF",NA,NA,"SOBERANES","2016",132104.28125,2016-07-22,2016-10-13,4,47
"207",NA,"BLM",NA,NA,"ERSKINE","2016",48008.3515625,2016-06-23,2016-06-30,14,47
"208",NA,"USF",NA,NA,"BLUE CUT","2016",36266.6953125,2016-08-16,2016-08-26,9,47
"209",NA,"USF",NA,NA,"CEDAR","2016",29100.5585938,2016-08-16,2016-08-16,9,47
"210",NA,"USF",NA,NA,"SAND","2016",41382.859375,2016-07-22,2016-08-07,2,47
"211",NA,"USF",NA,NA,"REY","2016",32580.4355469,2016-08-18,2016-09-15,9,47
"212",NA,"USF",NA,NA,"GAP","2016",33011.4414063,2016-08-27,NA,7,47
"213",NA,"CDF",NA,NA,"ALAMO","2017",28834.171875,2017-07-06,2017-07-20,10,48
"214",NA,"CDF",NA,NA,"DETWILER","2017",81826.2734375,2017-07-16,2017-08-31,9,48
"215",NA,"CDF",NA,NA,"NUNS","2017",55798.1914063,2017-10-08,2017-10-31,14,48
"216",NA,"CDF",NA,NA,"TUBBS","2017",36701.984375,2017-10-08,2017-11-01,14,48
"217",NA,"CDF",NA,NA,"POCKET","2017",17359.328125,2017-10-08,2017-11-01,14,48
"218",NA,"CDF",NA,NA,"ATLAS","2017",51624.65625,2017-10-08,2017-11-01,14,48
"219",NA,"CCO",NA,NA,"CREEK","2017",15619.1464844,2017-12-05,2017-12-05,14,48
"220",NA,"BLM",NA,NA,"R-4 PARSNIP","2017",18601.9804688,2017-08-30,2017-09-15,1,48
"221",NA,"BLM",NA,NA,"LONG VALLEY","2017",83581.4140625,2017-07-11,2017-07-27,10,48
"222",NA,"CDF",NA,NA,"GARZA","2017",48886.6640625,2017-07-09,2017-07-25,10,48
"223",NA,"CDF",NA,NA,"ELM","2017",11146.7548828,2017-05-18,2017-05-23,2,48
"224",NA,"USF",NA,NA,"HELENA","2017",18493.7070313,2017-08-30,2017-11-14,9,48
"225",NA,"USF",NA,NA,"HAYPRESS","2017",21317.9316406,2017-08-10,2017-10-16,1,48
"226",NA,"USF",NA,NA,"SCHAEFFER","2017",15833.2119141,2017-06-24,2017-11-15,1,48
"227",NA,"USF",NA,NA,"PIER","2017",36619.4257813,2017-08-29,2017-08-30,7,48
"228",NA,"USF",NA,NA,"LION","2017",18913.5761719,2017-09-25,2017-11-02,1,48
