"","OBJECTID","YEAR_","STATE","AGENCY","UNIT_ID","FIRE_NAME","INC_NUM","ALARM_DATE","CONT_DATE","CAUSE","COMMENTS","REPORT_AC","GIS_ACRES","C_METHOD","OBJECTIVE","FIRE_NUM","Shape_Leng","Shape_Area"
"17905",17905,"2014","CA","LRA","MVU","BERNARDO","010055",2014-05-13,2014-05-18,2,"<Null>",1548,1331.43,1,1,NA,23687.643963,5388088.93294
"17906",17906,"2014","CA","LRA","MVU","POINSETTIA","010165",2014-05-14,2014-05-18,14,"<Null>",600,376.94,1,1,NA,15678.6109913,1525422.83124
"17907",17907,"2014","CA","LRA","MVU","RIVER","010187",2014-05-14,2014-05-19,14,NA,0,167.907,8,1,NA,5352.22486888,679495.335567
"17908",17908,"2014","CA","CDF","NEU","MONUMENT","013004",2014-06-12,2014-06-12,14,NA,10,9.81363,1,0,NA,1008.79686348,39714.3477002
"17909",17909,"2014","CA","CDF","NEU","PERIMERTER","010120",2014-05-09,2014-05-09,5,NA,11,9.58489,1,1,NA,1145.37417156,38788.6563009
"17910",17910,"2014","CA","CDF","NEU","IOWA","016579",2014-07-21,2014-07-21,9,"Misc/Shooting",15,14.2295,1,1,NA,1213.01464914,57584.8828666
"17911",17911,"2014","CA","CDF","NEU","HUTTO","015241",2014-07-07,2014-07-07,14,"3 Outbuildings Destroyed",49,48.7286,1,1,NA,2656.73047525,197197.607893
"17912",17912,"2014","CA","CDF","LNU","BUTTS","005333",2014-07-01,2014-07-09,14,"FIMT  H6UW",0,4297.35,8,1,NA,24025.6800082,17390756.4316
"17913",17913,"2007","CA","NPS","SMP","CANYON","00001849",2007-10-21,NA,11,"Parts of LACO perim, mod thru BARC image, air photo interp by NPS, 30m accurate?",4565,3838.9,7,1,"00001849",49754.920406,15535458.3989
"17914",17914,"2007","CA","NPS","SMP","STERLING","00000773",2007-12-08,2007-12-08,1,"NPS by ground GPS, accuracy 10m, cause = lightning",0.3,0.00889611,1,1,"00000773",28.3223619258,36.0012731847
"17915",17915,"2007","CA","NPS","SMP","FRANKLIN","00000265",2007-04-12,2007-04-12,2,"cause = mower, spots burn 3 houses, map NPS by airpic, recon, accuracy 10m",15,9.35957,7,1,"00000265",1370.51359626,37876.8196919
"17916",17916,"2007","CA","NPS","SMP","ROCKY OAKS","00000043",2007-01-16,2007-01-16,9,"mapped by NPS, presumed accuracy 30m, cause unknown presumed human",0.3,0.308975,7,1,"00000043",125.50982738,1250.37594957
"17917",17917,"2007","CA","NPS","SMP","LAS VIRGENES","00000433",2007-06-28,2007-06-28,11,"By SCEpower tower, cause = powerline or mowi? NPS map ground GPS, accuracy 10m",0.2,0.197774,1,1,"00000433",100.415628169,800.364186311
"17918",17918,"2007","CA","NPS","LAC","LATIGO CANYON","00000285",2007-04-26,2007-04-26,9,"NPS from unkn source. Presumed accuracy 30m, cause unkn, presumed human",0.1,0.0934845,8,1,"00000285",69.0377707345,378.318474613
"17919",17919,"2007","CA","NPS","KNP","BALDY RIDGE","00000000",2007-11-01,2007-12-01,1,NA,20,19.6925,1,2,"00000113",2177.99110405,79692.5201796
"17920",17920,"2007","CA","NPS","KNP","WILLOW","00000000",2007-07-19,2007-11-06,1,NA,185,184.826,2,2,"00000035",5195.09465269,747965.067055
"17921",17921,"2007","CA","NPS","DVP","GOLDEN","00000000",2007-04-14,2007-04-15,14,NA,1988,1989.91,1,1,"00002001",15292.6676428,8052876.04606
"17922",17922,"2007","CA","NPS","RWP","SCHOOL","0000DOD4",2007-09-10,2007-09-11,7,NA,0,1.00004,1,1,"00000020",225.513693478,4047.02578864
"17923",17923,"2007","CA","NPS","RWP","WILLIAMS","0000DZ3F",2007-09-07,2007-09-09,7,NA,0,9.99759,1,1,"00000018",713.036083517,40458.8144023
"17924",17924,"2007","CA","NPS","SMP","DEER CREEK","00000611",2007-09-07,2007-09-07,10,"ground GPS by NPS. Cause = car crash & burn, accuracy 10m",0.3,0.0652637,1,1,"00000611",62.1485613538,264.113002499
"17925",17925,"2007","CA","NPS","SMP","SANDSTONE","00000481",2007-07-22,2007-07-22,10,"ground GPS by NPS. Cause car crash, accuracy 10m",0.1,0.140922,1,1,"00000481",110.044088363,570.29077057
"17926",17926,"2007","CA","NPS","SMP","MALIBU","00000015",2007-01-08,2007-01-08,3,"NPS by oblique air photos, cause car cigarette, presumed accuracy 15m",20,37.1574,5,1,"00000015",2219.39968434,150370.822964
"17927",17927,"2007","CA","NPS","SMP","FOOTHILL","00000061",2007-01-22,2007-01-22,14,"City of Thousand Oaks by ground GPS, presumed accuracy 5m",30,55.6204,1,1,"00000061",3233.32451684,225087.644768
"17928",17928,"2007","CA","NPS","LAC","LATIGO","00000350",2007-05-23,2007-05-23,2,"NPS by ground GPS. Accuracy 10m. cause = welding torch",0.2,0.197764,1,1,"00000350",100.413066278,800.32237836
"17929",17929,"2007","CA","NPS","SMP","TUNNEL","00000406",2007-06-18,2007-06-18,9,"NPS by ground GPS. Accuracy 10m. cause = ukn, presumed human",0.3,0.250253,1,1,"00000406",112.955143475,1012.73845542
"17930",17930,"2007","CA","NPS","SMP","CREEK","00000515",2007-08-01,2007-08-01,9,"NPS by ground GPS. Cause unkn, presumably human, accuracy 20m",1,1.0026,1,1,"00000515",226.009655396,4057.39432445
"17931",17931,"2007","CA","NPS","YNP","GRANT","00000000",2007-07-10,2007-09-20,1,NA,13.35,13.3514,1,2,"00002367",1831.71664916,54031.2954859
"17932",17932,"2007","CA","NPS","YNP","BABCOCK","00000000",2007-07-11,2007-09-20,1,NA,263.5,263.433,1,2,"00002397",5100.38458119,1066076.13308
"17933",17933,"2007","CA","NPS","YNP","BALD WFU","00000000",2007-08-30,2007-09-05,1,"This fire was converted from a WFU on 9/5",331.8,331.625,1,2,"00003762",4470.81912749,1342037.46876
